ESRI_OID,workplace_code,workplace_name,activity_evrk2,municipality,county,employees,immunised_percent,percentile_1,percentile_2,as_of_date
4608,158866535,"Kaišiadorių rajono žemės ūkio bendrovė ""Žiežmarių sodai""",012400,Kaišiadorių r. sav.,Kauno apskr.,15,90-100%,100,100,2022-03-20
4609,158867594,Kaišiadorių vartotojų kooperatyvas,471100,Kaišiadorių r. sav.,Kauno apskr.,100,90-100%,74,76,2022-03-20
4610,158886370,"S. Petkevičiaus įmonė ""Petkus""",014700,Kaišiadorių r. sav.,Kauno apskr.,15,80-89%,37,38,2022-03-20
4611,158889480,"Kauno skalbykla, UAB",960100,Kaišiadorių r. sav.,Kauno apskr.,20,90-100%,44,45,2022-03-20
4612,158889861,"UŽDAROJI AKCINĖ BENDROVĖ ""BARTŽUVĖ""",031200,Elektrėnų sav.,Vilniaus apskr.,10,90-100%,100,100,2022-03-20
4613,158891218,Akcinė bendrovė Kaišiadorių paukštynas,014710,Kaišiadorių r. sav.,Kauno apskr.,625,90-100%,91,93,2022-03-20
4614,158894285,"Uždaroji akcinė bendrovė ""Vetfarmas""",462100,Kaišiadorių r. sav.,Kauno apskr.,35,90-100%,76,78,2022-03-20
4615,158898910,Uždaroji akcinė bendrovė Rumšiškių paukštynas,014700,Kaišiadorių r. sav.,Kauno apskr.,85,90-100%,50,52,2022-03-20
4616,158902846,Uždaroji akcinė bendrovė Girelės paukštynas,014710,Kaišiadorių r. sav.,Kauno apskr.,30,90-100%,100,100,2022-03-20
4617,158906339,"G. Kanaševičiaus personalinė įmonė ""DESĖ""",102000,Kaišiadorių r. sav.,Kauno apskr.,155,90-100%,91,93,2022-03-20
4618,158906524,"Uždaroji akcinė bendrovė ""Alivdara""",471100,Kaišiadorių r. sav.,Kauno apskr.,20,90-100%,100,100,2022-03-20
4619,158914777,G. Subačiaus individuali transporto įmonė,494100,Kaišiadorių r. sav.,Kauno apskr.,35,50-59%,15,15,2022-03-20
4620,158915911,"Žemės ūkio bendrovė ""Nematekas""",101300,Kaišiadorių r. sav.,Kauno apskr.,395,90-100%,59,61,2022-03-20
4621,158917734,"UAB ""NEMUNO BALDAI""",682000,Kaišiadorių r. sav.,Kauno apskr.,10,90-100%,100,100,2022-03-20
4622,158919023,J. Špakauskienės personalinė įmonė,107200,Kaišiadorių r. sav.,Kauno apskr.,10,90-100%,44,46,2022-03-20
4623,158919938,"V. KARTENIO FIRMA ""ELEKTRĖNŲ MĖSA""",101300,Elektrėnų sav.,Vilniaus apskr.,20,60-69%,18,19,2022-03-20
4624,158929327,"UAB ""Geosoma""",711240,Kaišiadorių r. sav.,Kauno apskr.,10,90-100%,44,46,2022-03-20
4625,158933891,"UAB ""LEMDESTA""",453100,Kauno m. sav.,Kauno apskr.,10,90-100%,100,100,2022-03-20
4626,158950093,"UAB ""Eidina""",471100,Kauno r. sav.,Kauno apskr.,20,90-100%,58,60,2022-03-20
4627,158954686,"Uždaroji akcinė bendrovė ""Pas Lizą""",471100,Kaišiadorių r. sav.,Kauno apskr.,20,90-100%,63,65,2022-03-20
4628,158954914,J. Kerševičiaus individuali įmonė,021000,Kaišiadorių r. sav.,Kauno apskr.,60,90-100%,60,61,2022-03-20
4629,158955820,"Uždaroji akcinė bendrovė ""AROSTĖ""",139300,Kaišiadorių r. sav.,Kauno apskr.,25,90-100%,100,100,2022-03-20
4630,158959128,"UAB ""Clemence Richard""",310900,Kaišiadorių r. sav.,Kauno apskr.,95,90-100%,57,58,2022-03-20
4631,158960810,"Uždaroji akcinė bendrovė ""Dinapolis""",283000,Kaišiadorių r. sav.,Kauno apskr.,70,80-89%,38,39,2022-03-20
4632,158963735,Viešoji įstaiga Paparčių šv. Juozapo šeimos namai,879000,Kaišiadorių r. sav.,Kauno apskr.,10,90-100%,100,100,2022-03-20
4633,158964118,"Viešoji įstaiga Rumšiškių senelių globos namai ""Auksinis amžius""",873000,Kaišiadorių r. sav.,Kauno apskr.,10,90-100%,100,100,2022-03-20
4634,158971269,Viešoji įstaiga Kruonio pirminės sveikatos priežiūros centras,862100,Kaišiadorių r. sav.,Kauno apskr.,10,90-100%,100,,2022-03-20
4635,158971454,Viešoji įstaiga Žiežmarių pirminės sveikatos priežiūros centras,862100,Kaišiadorių r. sav.,Kauno apskr.,15,90-100%,100,,2022-03-20
4636,158971792,Viešoji įstaiga Rumšiškių pirminės sveikatos priežiūros centras,862100,Kaišiadorių r. sav.,Kauno apskr.,15,90-100%,100,,2022-03-20
4637,158971835,Viešoji įstaiga Kaišiadorių ligoninė,861010,Kaišiadorių r. sav.,Kauno apskr.,240,90-100%,95,,2022-03-20
4638,158972556,"Uždaroji akcinė bendrovė ""Žiežmarių hidrotechnika""",421100,Kaišiadorių r. sav.,Kauno apskr.,10,80-89%,27,28,2022-03-20
4639,158973124,"Uždaroji akcinė bendrovė ""ARADVA""",471100,Kaišiadorių r. sav.,Kauno apskr.,35,90-100%,76,78,2022-03-20
4640,158976234,Kaišiadorių rajono priešgaisrinė tarnyba,842500,Kaišiadorių r. sav.,Kauno apskr.,55,90-100%,85,88,2022-03-20
4641,158978438,"Uždaroji akcinė bendrovė ""Ovalda""",222900,Kaišiadorių r. sav.,Kauno apskr.,30,90-100%,100,100,2022-03-20
4642,158978623,"Uždaroji akcinė bendrovė ""DIVENDA""",475200,Kaišiadorių r. sav.,Kauno apskr.,20,90-100%,100,100,2022-03-20
4643,158982130,Viešoji įstaiga Kaišiadorių psichikos sveikatos centras,862200,Kaišiadorių r. sav.,Kauno apskr.,10,90-100%,100,,2022-03-20
4644,158983613,"Uždaroji akcinė bendrovė ""Bačkonys""",561000,Kaišiadorių r. sav.,Kauno apskr.,10,90-100%,44,46,2022-03-20
4645,167236090,"UAB ""Automagnatas""",453200,Mažeikių r. sav.,Telšių apskr.,20,80-89%,32,33,2022-03-20
4646,158986723,"Uždaroji akcinė bendrovė ""AUTOSPARNAI""",453200,Kaišiadorių r. sav.,Kauno apskr.,15,80-89%,36,37,2022-03-20
4647,158989452,Viešoji įstaiga Moters sveikatos centras,862100,Kaišiadorių r. sav.,Kauno apskr.,25,90-100%,64,,2022-03-20
4648,158993917,"UAB ""KELMYNAS""",022000,Kaišiadorių r. sav.,Kauno apskr.,10,60-69%,15,16,2022-03-20
4649,158994442,"Uždaroji akcinė bendrovė ""Nemuno baldų prekyba""",310900,Kaišiadorių r. sav.,Kauno apskr.,10,90-100%,100,100,2022-03-20
4650,158995163,Uždaroji akcinė bendrovė Kaišiadorių šeimos medicinos centras,862100,Kaišiadorių r. sav.,Kauno apskr.,10,90-100%,100,,2022-03-20
4651,158996646,"Uždaroji akcinė bendrovė ""KAIŠIADORIŲ ŠILUMA""",353000,Kaišiadorių r. sav.,Kauno apskr.,50,90-100%,64,66,2022-03-20
4652,158997029,Kaišiadorių socialinių paslaugų centras,881000,Kaišiadorių r. sav.,Kauno apskr.,130,90-100%,88,90,2022-03-20
4653,158998316,"UAB ""STAFAS""",412000,Kauno r. sav.,Kauno apskr.,30,80-89%,33,34,2022-03-20
4654,159000489,"Uždaroji akcinė bendrovė ""RIMSIGNA""",801000,Kaišiadorių r. sav.,Kauno apskr.,25,90-100%,66,68,2022-03-20
4655,159421260,"UAB ""Tilas""",162300,Kaišiadorių r. sav.,Kauno apskr.,35,90-100%,74,77,2022-03-20
4656,159422896,"Uždaroji akcinė bendrovė ""VAIMINDA"" IR KO",467300,Kauno m. sav.,Kauno apskr.,10,90-100%,43,44,2022-03-20
4657,159424751,"Uždaroji akcinė bendrovė ""Optisima""",477840,Vilniaus m. sav.,Vilniaus apskr.,15,90-100%,100,100,2022-03-20
4658,159425472,"Uždaroji akcinė bendrovė ""Ramsauta""",494100,Kaišiadorių r. sav.,Kauno apskr.,15,90-100%,52,54,2022-03-20
4659,159426236,"Uždaroji akcinė bendrovė ""Sviremsta""",412000,Kaišiadorių r. sav.,Kauno apskr.,10,90-100%,100,100,2022-03-20
4660,159427719,"UAB ""KRAMEDAS""",412000,Kaišiadorių r. sav.,Kauno apskr.,10,90-100%,100,100,2022-03-20
4661,159514615,A. Grižo įmonė,141300,Kauno r. sav.,Kauno apskr.,55,90-100%,69,72,2022-03-20
4662,159555779,"UAB ""Ronika""",293200,Kauno m. sav.,Kauno apskr.,30,90-100%,100,100,2022-03-20
4663,159561675,"UAB ""SALVINA Transport""",494100,Kauno m. sav.,Kauno apskr.,10,80-89%,32,33,2022-03-20
4664,159592425,"UAB ""Jargala""",463400,Kauno m. sav.,Kauno apskr.,75,80-89%,35,36,2022-03-20
4665,159594390,"Uždaroji akcinė bendrovė ""Neris""",412000,Kauno m. sav.,Kauno apskr.,40,90-100%,47,49,2022-03-20
4666,159597358,"UAB ""Raučulys""",471100,Kauno r. sav.,Kauno apskr.,15,90-100%,50,52,2022-03-20
4667,159613976,"Eugenijaus Stankevičiaus įmonė ""Ancė""",471100,Kauno m. sav.,Kauno apskr.,15,80-89%,31,32,2022-03-20
4668,159659952,"Uždaroji akcinė bendrovė ""Nojus""",462100,Kauno m. sav.,Kauno apskr.,60,90-100%,59,61,2022-03-20
4669,159666427,"Uždaroji akcinė bendrovė ""Sauda""",108400,Kauno r. sav.,Kauno apskr.,75,90-100%,91,93,2022-03-20
4670,159673578,"Uždaroji akcinė bendrovė ""Mega""",162900,Kauno r. sav.,Kauno apskr.,20,90-100%,44,45,2022-03-20
4671,159696185,"Uždaroji akcinė bendrovė ""Garantas""",466100,Kauno r. sav.,Kauno apskr.,10,90-100%,43,44,2022-03-20
4672,159701636,"UAB ""Garliavos prekyba""",471100,Kauno r. sav.,Kauno apskr.,20,90-100%,44,45,2022-03-20
4673,159702357,"Uždaroji akcinė bendrovė ""Giraitės vandenys""",360000,Kauno r. sav.,Kauno apskr.,85,90-100%,60,62,2022-03-20
4674,159703797,"Uždaroji akcinė bendrovė ""Savas kampas""",471100,Kauno r. sav.,Kauno apskr.,20,90-100%,100,100,2022-03-20
4675,159713567,"Kauno rajono žemės ūkio bendrovė ""Rokai""",494100,Kauno r. sav.,Kauno apskr.,20,90-100%,44,46,2022-03-20
4676,159713948,"Žemės ūkio bendrovė ""Linas""",011100,Kauno r. sav.,Kauno apskr.,10,90-100%,40,42,2022-03-20
4677,159723337,"Kauno rajono žemės ūkio bendrovė ""Daugėliškiai""",011100,Kauno r. sav.,Kauno apskr.,60,90-100%,44,46,2022-03-20
4678,159723522,"Žemės ūkio bendrovė ""Jonučiai""",011100,Kauno r. sav.,Kauno apskr.,10,80-89%,30,32,2022-03-20
4679,159724624,"Uždaroji akcinė bendrovė ""Juragiai""",011100,Kauno r. sav.,Kauno apskr.,20,60-69%,20,21,2022-03-20
4680,159734013,"UAB ""Garliavos duona""",107100,Kauno r. sav.,Kauno apskr.,90,90-100%,70,73,2022-03-20
4681,159738225,Lytagros žemės ūkio bendrovė,015000,Kauno r. sav.,Kauno apskr.,75,80-89%,35,36,2022-03-20
4682,159739850,"Akcinė bendrovė ""Vilkijos ūkis""",014910,Kauno r. sav.,Kauno apskr.,75,90-100%,66,68,2022-03-20
4683,159747612,"Uždaroji akcinė bendrovė ""Garliavos gelžbetonis""",682000,Kauno r. sav.,Kauno apskr.,10,90-100%,40,42,2022-03-20
4684,159750366,"Uždaroji akcinė bendrovė ""Viržis""",463100,Kauno r. sav.,Kauno apskr.,30,90-100%,40,42,2022-03-20
4685,159753280,Vytėnų žemės ūkio bendrovė,107100,Kauno r. sav.,Kauno apskr.,10,90-100%,100,100,2022-03-20
4686,159756586,UAB Hidrogeologija,422100,Kauno r. sav.,Kauno apskr.,50,80-89%,35,36,2022-03-20
4687,159757916,"Uždaroji akcinė bendrovė ""Latmas""",683100,Kauno m. sav.,Kauno apskr.,15,80-89%,37,38,2022-03-20
4688,159762710,"UAB ""ČALDA""",107100,Kauno r. sav.,Kauno apskr.,15,90-100%,57,58,2022-03-20
4689,159763627,"Uždaroji akcinė bendrovė ""Svydis""",467510,Kauno m. sav.,Kauno apskr.,20,90-100%,100,100,2022-03-20
4690,159784379,"Uždaroji akcinė bendrovė ""Robidalis""",467150,Kauno m. sav.,Kauno apskr.,10,90-100%,100,100,2022-03-20
4691,159794715,"Uždaroji akcinė bendrovė ""Garlita""",143900,Kauno r. sav.,Kauno apskr.,165,90-100%,68,70,2022-03-20
4692,159798731,"UAB ""Radė""",433900,Kauno r. sav.,Kauno apskr.,30,90-100%,71,73,2022-03-20
4693,159805396,"UAB ""Nigintos džinsai""",477100,Kauno m. sav.,Kauno apskr.,35,90-100%,77,79,2022-03-20
4694,159807251,"UAB ""Šauka""",562900,Kauno r. sav.,Kauno apskr.,15,90-100%,100,100,2022-03-20
4695,159808015,"Uždaroji akcinė bendrovė ""Garliavos statyba""",412020,Kauno r. sav.,Kauno apskr.,20,80-89%,36,37,2022-03-20
4696,159821258,"Uždaroji akcinė bendrovė ""Vitmina""",494100,Kauno r. sav.,Kauno apskr.,35,90-100%,45,46,2022-03-20
4697,159836331,"UAB ""Pilėnų vaistinė""",477300,Kauno r. sav.,Kauno apskr.,10,90-100%,43,44,2022-03-20
4698,159837814,"UAB ""DAIRIDIS""",561000,Kauno r. sav.,Kauno apskr.,25,90-100%,100,100,2022-03-20
4699,159848262,"UAB ""Diforma""",467300,Kauno r. sav.,Kauno apskr.,40,90-100%,100,100,2022-03-20
4700,159851059,"Uždaroji akcinė bendrovė ""Drąseikių karjeras""",081200,Kauno r. sav.,Kauno apskr.,25,80-89%,37,38,2022-03-20
4701,159855260,"M. Jevstafjevos firma ""Sermija""",141400,Vilniaus m. sav.,Vilniaus apskr.,10,90-100%,100,100,2022-03-20
4702,173726394,"UAB ""ROKMELSTA""",431230,Rokiškio r. sav.,Panevėžio apskr.,45,90-100%,83,85,2022-03-20
4703,159857083,Kauno rajono centrinis vartotojų kooperatyvas,471100,Kauno r. sav.,Kauno apskr.,70,90-100%,89,92,2022-03-20
4704,159862835,"UAB ""ARV""",475230,Kauno r. sav.,Kauno apskr.,10,90-100%,100,100,2022-03-20
4705,159866666,"UAB ""INGMARTUS""",106100,Kauno r. sav.,Kauno apskr.,10,90-100%,100,100,2022-03-20
4706,159868717,"UAB ""Antirijus""",493100,Kauno r. sav.,Kauno apskr.,15,90-100%,100,100,2022-03-20
4707,159870216,"UAB ""SALDĖSIS""",107200,Kauno r. sav.,Kauno apskr.,10,90-100%,100,100,2022-03-20
4708,159876393,"UAB ""Ambertonas""",464500,Kauno m. sav.,Kauno apskr.,35,90-100%,44,45,2022-03-20
4709,159884917,"Uždaroji akcinė bendrovė ""Interjerų sistemos""",433300,Kauno m. sav.,Kauno apskr.,20,80-89%,27,28,2022-03-20
4710,159892440,"Uždaroji akcinė bendrovė ""Trukmė""",467300,Kauno r. sav.,Kauno apskr.,265,90-100%,48,49,2022-03-20
4711,159892593,"UAB ""Baltasis pyragas""",107100,Jonavos r. sav.,Kauno apskr.,170,90-100%,42,43,2022-03-20
4712,159896314,"V. Kernevičiaus firma ""Kervita"", UAB",467300,Kauno m. sav.,Kauno apskr.,15,90-100%,100,100,2022-03-20
4713,159897754,"Uždaroji akcinė bendrovė ""Erelita""",494100,Kauno r. sav.,Kauno apskr.,25,90-100%,100,100,2022-03-20
4714,159898518,"UAB ""Masneka""",494100,Kauno r. sav.,Kauno apskr.,45,90-100%,43,44,2022-03-20
4715,159901341,"Uždaroji akcinė bendrovė ""Tauriga""",292000,Kauno r. sav.,Kauno apskr.,20,90-100%,100,100,2022-03-20
4716,159911983,UAB Paulimatas,493100,Kauno r. sav.,Kauno apskr.,10,80-89%,27,28,2022-03-20
4717,159912028,"UAB ""Širmulis""",463900,Kauno r. sav.,Kauno apskr.,30,80-89%,36,37,2022-03-20
4718,159914036,"Uždaroji akcinė bendrovė ""Merula""",493900,Kauno m. sav.,Kauno apskr.,40,90-100%,61,63,2022-03-20
4719,159915661,"Uždaroji akcinė bendrovė ""Dorsana""",331200,Kauno r. sav.,Kauno apskr.,10,80-89%,29,30,2022-03-20
4720,159916763,"Uždaroji akcinė bendrovė ""Fotospektras""",742000,Kauno r. sav.,Kauno apskr.,15,90-100%,100,100,2022-03-20
4721,159926490,"UAB ""NORDEKSPRESAS""",494100,Kauno m. sav.,Kauno apskr.,115,90-100%,53,55,2022-03-20
4722,159926533,"UAB ""AUTO AVES""",452000,Kauno m. sav.,Kauno apskr.,10,90-100%,100,100,2022-03-20
4723,159928160,Brigitos Garunkštienės įmonė,477600,Marijampolės sav.,Marijampolės apskr.,20,80-89%,36,37,2022-03-20
4724,159930955,"Uždaroji akcinė bendrovė ""Mijola""",475300,Kauno r. sav.,Kauno apskr.,10,80-89%,29,30,2022-03-20
4725,159937939,"Uždaroji akcinė bendrovė ""Jonuta""",494100,Šalčininkų r. sav.,Vilniaus apskr.,35,30-39%,6,6,2022-03-20
4726,159938083,"Uždaroji akcinė bendrovė ""Printela""",172900,Kauno m. sav.,Kauno apskr.,60,90-100%,88,90,2022-03-20
4727,159942014,"Uždaroji akcinė bendrovė ""Imbreta""",561000,Kauno r. sav.,Kauno apskr.,15,90-100%,55,57,2022-03-20
4728,159945462,Viešoji įstaiga Garliavos pirminės sveikatos priežiūros centras,862100,Kauno r. sav.,Kauno apskr.,85,90-100%,100,,2022-03-20
4729,159945658,"Viešoji įstaiga ""Pakaunės pirminės sveikatos priežiūros centras""",862100,Kauno r. sav.,Kauno apskr.,100,90-100%,94,,2022-03-20
4730,159947328,"Uždaroji akcinė bendrovė ""Autoramiksas""",467300,Kauno m. sav.,Kauno apskr.,10,90-100%,100,100,2022-03-20
4731,159954511,"UAB ""Ekodora""",412020,Kauno m. sav.,Kauno apskr.,40,90-100%,47,49,2022-03-20
4732,159955613,"Uždaroji akcinė bendrovė ""Plastena""",467300,Kauno r. sav.,Kauno apskr.,75,90-100%,90,93,2022-03-20
4733,159962579,Jono Baranausko įmonė,494100,Kauno m. sav.,Kauno apskr.,25,90-100%,100,100,2022-03-20
4734,159963713,"Uždaroji akcinė bendrovė ""Poliplastas""",222900,Kauno r. sav.,Kauno apskr.,60,90-100%,52,54,2022-03-20
4735,159964053,"Uždaroji akcinė bendrovė ""Tigrasa""",561000,Kauno r. sav.,Kauno apskr.,15,90-100%,100,100,2022-03-20
4736,159966442,"Uždaroji akcinė bendrovė ""Romega""",463200,Kauno r. sav.,Kauno apskr.,25,80-89%,31,32,2022-03-20
4737,159967697,"Uždaroji akcinė bendrovė ""Gritija""",467300,Kauno m. sav.,Kauno apskr.,10,90-100%,100,100,2022-03-20
4738,159971770,"UAB ""RAMDUVA""",464900,Kauno r. sav.,Kauno apskr.,10,90-100%,40,42,2022-03-20
4739,159974357,"Vaiko gerovės centras ""Gynia""",879000,Kauno r. sav.,Kauno apskr.,25,90-100%,100,100,2022-03-20
4740,159978373,"UAB ""Gėlių sala""",464900,Kauno r. sav.,Kauno apskr.,25,80-89%,36,38,2022-03-20
4741,159980634,Uždaroji akcinė bendrovė STRATEGIC STAFFING SOLUTIONS INTERNATIONAL,781000,Vilniaus m. sav.,Vilniaus apskr.,75,90-100%,57,59,2022-03-20
4742,159980787,"UAB ""Uma trans""",493100,Kauno m. sav.,Kauno apskr.,20,70-79%,22,23,2022-03-20
4743,159981355,"UAB ""VRD Baltic""",453200,Kauno m. sav.,Kauno apskr.,30,80-89%,28,29,2022-03-20
4744,159984999,"UAB ""ORDEN""",562900,Jonavos r. sav.,Kauno apskr.,25,90-100%,68,70,2022-03-20
4745,159992565,"GŽ klinika, UAB",464600,Kauno r. sav.,Kauno apskr.,25,90-100%,100,100,2022-03-20
4746,159992946,"Viešoji įstaiga ""Babtų šeimos medicinos centras""",862100,Kauno r. sav.,Kauno apskr.,20,90-100%,62,,2022-03-20
4747,160001684,"Uždaroji akcinė bendrovė ""BŪSTO SPRENDIMAI""",711200,Kauno m. sav.,Kauno apskr.,25,90-100%,64,66,2022-03-20
4748,160001727,"Uždaroji akcinė bendrovė ""HOPTRANSA""",494100,Kauno r. sav.,Kauno apskr.,1060,30-39%,4,5,2022-03-20
4749,160189745,"UAB ""KUPIŠKIO GRŪDAI""",016300,Kupiškio r. sav.,Panevėžio apskr.,10,90-100%,100,100,2022-03-20
4750,160194888,"Uždaroji akcinė bendrovė ""Naujoji Vizonda""",471100,Kupiškio r. sav.,Panevėžio apskr.,15,90-100%,100,100,2022-03-20
4751,160200711,VIEŠOJI ĮSTAIGA JONUČIŲ ŠEIMOS SVEIKATOS CENTRAS,862100,Kauno r. sav.,Kauno apskr.,30,90-100%,100,,2022-03-20
4752,160204019,"ŽŪB ""MINKUVA""",014910,Kauno r. sav.,Kauno apskr.,25,80-89%,37,38,2022-03-20
4753,160285462,"Uždaroji akcinė bendrovė ""Ledana""",109200,Kauno r. sav.,Kauno apskr.,10,90-100%,100,100,2022-03-20
4754,160286564,"UAB ""JOLURITA""",467600,Kauno m. sav.,Kauno apskr.,10,90-100%,46,48,2022-03-20
4755,160289489,"UAB ""MEDGINTRAS""",862200,Kauno m. sav.,Kauno apskr.,180,90-100%,100,,2022-03-20
4756,160289717,"UAB ""Lietuvos kepėjas""",107100,Kauno m. sav.,Kauno apskr.,120,90-100%,59,61,2022-03-20
4757,160296334,"UAB ""SAULIUS IR KRISTUPAS""",471100,Kauno m. sav.,Kauno apskr.,10,90-100%,100,100,2022-03-20
4758,160297055,"UAB ""GEOMETRA""",711200,Kauno m. sav.,Kauno apskr.,10,90-100%,100,100,2022-03-20
4759,160297436,"UAB ""Swentra""",412000,Kauno r. sav.,Kauno apskr.,15,60-69%,15,16,2022-03-20
4760,179452142,"UAB ""GPI7""",475900,Kauno m. sav.,Kauno apskr.,10,90-100%,100,100,2022-03-20
4761,160300117,Viešoji įstaiga Kauno rajono greitosios medicinos pagalbos stotis,869040,Kauno m. sav.,Kauno apskr.,70,90-100%,90,,2022-03-20
4762,160301895,"UAB ""Acerna""",494100,Kauno m. sav.,Kauno apskr.,40,80-89%,36,37,2022-03-20
4763,160303227,Viešoji įstaiga Psichologinės paramos ir konsultavimo centras,889900,Kauno m. sav.,Kauno apskr.,35,90-100%,100,100,2022-03-20
4764,160304667,"UAB ""DENS NOVUS""",325000,Kauno r. sav.,Kauno apskr.,15,90-100%,100,100,2022-03-20
4765,160321969,"Uždaroji akcinė bendrovė ""TIKRESTA""",432200,Kupiškio r. sav.,Panevėžio apskr.,30,90-100%,43,45,2022-03-20
4766,160324883,"UAB ""Aika dovanos""",477800,Šiaulių m. sav.,Šiaulių apskr.,50,90-100%,84,87,2022-03-20
4767,160417519,"UAB ""TRANSRIFUS""",773200,Kauno r. sav.,Kauno apskr.,85,90-100%,60,62,2022-03-20
4768,160419299,"UAB ""SALPRONĖ""",103900,Kauno r. sav.,Kauno apskr.,135,90-100%,67,69,2022-03-20
4769,160421211,"UAB ""ABSTA""",412000,Kauno m. sav.,Kauno apskr.,30,90-100%,53,54,2022-03-20
4770,160421364,"UAB ""BALTIJOS POLISTIRENAS""",222100,Kauno r. sav.,Kauno apskr.,130,90-100%,56,58,2022-03-20
4771,160422847,"UAB ""Adikopas""",133000,Kauno r. sav.,Kauno apskr.,15,90-100%,100,100,2022-03-20
4772,160423187,"UAB ""Medvita""",467300,Kauno r. sav.,Kauno apskr.,55,80-89%,36,37,2022-03-20
4773,160423949,"UAB ""DJT""",494100,Kauno r. sav.,Kauno apskr.,15,70-79%,23,24,2022-03-20
4774,160425238,"UAB ""TMT""",453200,Kauno r. sav.,Kauno apskr.,10,80-89%,29,30,2022-03-20
4775,160427431,"UAB ""POŽEMINĖS LINIJOS""",422100,Kauno m. sav.,Kauno apskr.,110,90-100%,45,46,2022-03-20
4776,160428729,R. Bindoko firma,561000,Kauno r. sav.,Kauno apskr.,10,90-100%,100,100,2022-03-20
4777,160430566,"UAB ""TECHNOLOGINIŲ PASLAUGŲ SPRENDIMAI""",951100,Kauno m. sav.,Kauno apskr.,40,90-100%,78,81,2022-03-20
4778,160441961,"UAB ""KLIJŲ PASAULIS""",467500,Kauno m. sav.,Kauno apskr.,10,90-100%,100,100,2022-03-20
4779,160446218,"UAB ""CHEMTAGRA""",467500,Kauno r. sav.,Kauno apskr.,10,90-100%,40,42,2022-03-20
4780,160448564,Viešoji įstaiga Kauno rajono priešgaisrinė saugos tarnyba,842500,Kauno r. sav.,Kauno apskr.,65,80-89%,37,38,2022-03-20
4781,160449285,"UAB ""ABC NORDIC""",467200,Jonavos r. sav.,Kauno apskr.,30,90-100%,100,100,2022-03-20
4782,161110455,"Akcinė bendrovė ""LIFOSA""",201500,Kėdainių r. sav.,Kauno apskr.,1025,90-100%,91,93,2022-03-20
4783,161111219,"Akcinė bendrovė ""Nordic Sugar Kėdainiai""",108100,Kėdainių r. sav.,Kauno apskr.,215,90-100%,80,82,2022-03-20
4784,161124056,"Sauliaus Labanausko firma ""Sadilė""",022000,Kėdainių r. sav.,Kauno apskr.,10,90-100%,49,50,2022-03-20
4785,161130867,"Uždaroji akcinė bendrovė ""Kėdainių butai""",683200,Kėdainių r. sav.,Kauno apskr.,30,90-100%,71,73,2022-03-20
4786,161141924,"Arvydo Pabrinkio įmonė ""Variklis""",494100,Kėdainių r. sav.,Kauno apskr.,15,90-100%,52,54,2022-03-20
4787,161153093,Danutės Buliauskienės gamybos ir prekybos įmonė,471100,Prienų r. sav.,Kauno apskr.,15,90-100%,100,100,2022-03-20
4788,161174988,"UAB ""Josvainių gėlės""",477600,Kėdainių r. sav.,Kauno apskr.,20,80-89%,32,33,2022-03-20
4789,161186428,"Uždaroji akcinė bendrovė ""Kėdainių vandenys""",360000,Kėdainių r. sav.,Kauno apskr.,110,90-100%,43,44,2022-03-20
4790,161219180,"Vigimanto Lukšio įmonė ""Maišelis""",222200,Kėdainių r. sav.,Kauno apskr.,25,90-100%,68,70,2022-03-20
4791,161228959,Kėdainių rajono Labūnavos žemės ūkio bendrovė,015000,Kėdainių r. sav.,Kauno apskr.,65,90-100%,74,76,2022-03-20
4792,161229484,"UAB ""Kėdbusas""",493110,Kėdainių r. sav.,Kauno apskr.,70,90-100%,75,78,2022-03-20
4793,161264318,Kėdainių rajono Kunionių žemės ūkio bendrovė,013000,Kėdainių r. sav.,Kauno apskr.,10,80-89%,30,32,2022-03-20
4794,161264994,"Kėdainių rajono žemės ūkio bendrovė ""Padėjėjas""",011100,Kėdainių r. sav.,Kauno apskr.,10,90-100%,100,100,2022-03-20
4795,161266130,Kėdainių rajono Aušros žemės ūkio bendrovė,013000,Kėdainių r. sav.,Kauno apskr.,10,90-100%,100,100,2022-03-20
4796,161266479,"Kėdainių rajono žemės ūkio bendrovė ""Nabagėlis""",013000,Kėdainių r. sav.,Kauno apskr.,10,90-100%,100,100,2022-03-20
4797,161268868,"Kėdainių rajono žemės ūkio bendrovė ""Nemunas""",011100,Panevėžio r. sav.,Panevėžio apskr.,10,80-89%,32,33,2022-03-20
4798,161270029,Kėdainių rajono Krakių žemės ūkio bendrovė,015000,Kėdainių r. sav.,Kauno apskr.,35,70-79%,27,28,2022-03-20
4799,161272418,Kėdainių rajono Okainių žemės ūkio bendrovė,011910,Kėdainių r. sav.,Kauno apskr.,75,90-100%,43,44,2022-03-20
4800,161274230,"ŽŪB ""AUGA Mantviliškis""",011100,Kėdainių r. sav.,Kauno apskr.,15,90-100%,100,100,2022-03-20
4801,161274426,Kėdainių rajono Vermenos žemės ūkio bendrovė,015000,Kėdainių r. sav.,Kauno apskr.,40,90-100%,41,43,2022-03-20
4802,161282483,Kėdainių rajono Dovydiškių žemės ūkio bendrovė,015000,Kėdainių r. sav.,Kauno apskr.,15,90-100%,54,55,2022-03-20
4803,161282526,KĖDAINIŲ RAJONO AŽYTĖNŲ ŽEMĖS ŪKIO BENDROVĖ,015000,Kėdainių r. sav.,Kauno apskr.,25,90-100%,67,69,2022-03-20
